movie_name,message_id
Baahubali The Epic 2025,4
Baahubali The Epic 2025,5
Baahubali The Epic 2025,6
Baahubali The Epic 2025,7
The Taj Story 2025,8
The Taj Story 2025,9
The Taj Story 2025,10
The Taj Story 2025,11
The Taj Story 2025,12
Dhurandhar 2025,16
Dhurandhar 2025,19
Dhurandhar 2025,15
Dhurandhar 2025,13
Dhurandhar 2025,18
Dhurandhar 2025,14
Dhurandhar 2025,17
Kis Kisko Pyaar Karoon 2 2025,20
Kis Kisko Pyaar Karoon 2 2025,21
Kis Kisko Pyaar Karoon 2 2025,22
Kis Kisko Pyaar Karoon 2 2025,23
Kis Kisko Pyaar Karoon 2 2025,24
Akhanda 2 Thaandavam 2025,25
Akhanda 2 Thaandavam 2025,26
Akhanda 2 Thaandavam 2025,27
Akhanda 2 Thaandavam 2025,28
Akhanda 2 Thaandavam 2025,29
Akhanda 2 Thaandavam 2025,30
Akhanda 2 Thaandavam 2025,31
Avatar Fire and Ash (2025),32
Avatar Fire and Ash (2025),33
Avatar Fire and Ash (2025),34
Avatar Fire and Ash (2025),35
The Raja Saab 2026,36
The Raja Saab 2026,37
The Raja Saab 2026,38
The Raja Saab 2026,39
